id,unit,name,start,end,agency,acres,cause
LNU-6365,LAKE,INDIAN,2010-08-24,8/26/2010,CALFIRE,450,UNDETERMINE
SCU-3525,CONTRA COSTA,CURRY,2010-08-24,8/31/2010,CALFIRE/CC,375,OTHER
KRN-24500,KERN,POST,2010-08-25,8/28/2010,CALFIRE/CC,1312,UNDETERMINE
NEU-18316,NEVADA,BULLARDS,2010-08-27,9/13/2010,CALFIRE,1500,OTHER
TNF-1579,YUBA,BULLARD,2010-08-27,8/31/2010,USFS,1307,HUMAN
MVU-9767,SAN DIEGO,COWBOY,2010-09-02,9/7/2010,CAL FIRE,827,UI
STF-35641,KERN,CANYON,2010-09-12,9/19/2010,USFS,9820,HUMAN
BDU-002312,INYO,WINTERTON,2011-03-09,3/9/2011,CALFIRE,395,DEBRIS
BDU-002915,INYO,CENTER,2011-03-18,3/20/2011,CALFIRE,850,UNDETERMINED
BEU-001593,MONTEREY,METZ,2011-05-12,5/14/2011,CALFIRE,832,OTHER
SQF-001234,KERN,COVE,2011-05-27,5/31/2011,USFS,1122,UI
BEU-0001778,MONTEREY,CATTLEMAN,2011-05-29,5/29/2011,CALFIRE,382,OTHER
MDF-0000181,MODOC,COUGAR,2011-06-08,6/13/2011,USFS,2000,HUMAN
KRN-1117159,KERN,IKEA,2011-06-12,6/12/2011,LOCAL,640,OTHER
KRN-017988,KERN,ANTELOPE,2011-06-19,6/21/2011,LOCAL,5200,UNDETERMINE
KRN-1118260,KERN,QUINN,2011-06-21,6/22/2011,LOCAL,3154,UNDETERMINE
SLU-4752 (1),SAN LUIS OBISPO,HIGHWAY,2011-06-24,6/24/2011,CAL FIRE,387,EQUIPMENT
TCU-5166,STANISLAUS,EASTMAN,2011-06-24,6/24/2011,CAL FIRE,330,OTHER
MMU- 9446,MERCED,REST,2011-06-26,6/26/2011,CAL FIRE,575,OTHER
TUU-000134,TULARE,STAGE,2011-06-27,7/2/2011,CALFIRE,1213,EQUIPMENT
HUU-003190,HUMBOLDT,SPANISH,2011-07-01,7/5/2011,CALFIRE,498,HUMAN
SCU-002637,SAN JOAQUIN,CHRISMAN,2011-07-05,7/5/2011,CALFIRE,400,EQUIPMENT
ORC-045067,ORANGE,CARBON CANYON,2011-07-07,7/8/2011,LOCAL,508,UNDETERMINE
SQF-002087,TULARE,LION,2011-07-08,10/10/2011,USFS,20500,LIGHTNING
TUU-0000188,TULARE,GRANITE,2011-07-09,7/12/2011,CALFIRE,780,UNDETERMINED
NEU-0015232,YUBA,KRISTA,2011-07-09,7/11/2011,CALFIRE,360,EQUIPMENT
